"Year","Month","Job_Value"
2009,"Jan","3647.3"
2009,"Feb","3636.3"
2009,"Mar","3641.5"
2009,"Apr","3654"
2009,"May","3669.6"
2009,"Jun","3687.2"
2009,"Jul","3658.8"
2009,"Aug","3647.9"
2009,"Sep","3632.3"
2009,"Oct","3643.3"
2009,"Nov","3652.2"
2009,"Dec","3650.6"
2010,"Jan","3560.6"
2010,"Feb","3545.6"
2010,"Mar","3588.1"
2010,"Apr","3642.9"
2010,"May","3673.2"
2010,"Jun","3692.1"
2010,"Jul","3678.2"
2010,"Aug","3664.8"
2010,"Sep","3654.3"
2010,"Oct","3677.7"
2010,"Nov","3690.8"
2010,"Dec","3689.9"
2011,"Jan","3611.7"
2011,"Feb","3629.8"
2011,"Mar","3656.5"
2011,"Apr","3692.6"
2011,"May","3697.7"
2011,"Jun","3717.3"
2011,"Jul","3701.3"
2011,"Aug","3694.1"
2011,"Sep","3715.9"
2011,"Oct","3723.6"
2011,"Nov","3740.7"
2011,"Dec","3734.5"
2012,"Jan","3659.5"
2012,"Feb","3676.6"
2012,"Mar","3704.1"
2012,"Apr","3728.4"
2012,"May","3738.8"
2012,"Jun","3759.2"
2012,"Jul","3724.9"
2012,"Aug","3737.9"
2012,"Sep","3750.8"
2012,"Oct","3773"
2012,"Nov","3790.4"
2012,"Dec","3788.5"
2013,"Jan","3700.9"
2013,"Feb","3720"
2013,"Mar","3741.2"
2013,"Apr","3764.1"
2013,"May","3770.2"
2013,"Jun","3785.4"
2013,"Jul","3761.9"
2013,"Aug","3765.7"
2013,"Sep","3771"
2013,"Oct","3777"
2013,"Nov","3802"
2013,"Dec","3790.3"
2014,"Jan","3710.5"
2014,"Feb","3710.8"
2014,"Mar","3736.9"
2014,"Apr","3783.8"
2014,"May","3801.7"
2014,"Jun","3815"
2014,"Jul","3788"
2014,"Aug","3792.6"
2014,"Sep","3798.8"
2014,"Oct","3811.3"
2014,"Nov","3828.8"
2014,"Dec","3825.1"
2015,"Jan","3758.4"
2015,"Feb","3766.7"
2015,"Mar","3780.3"
2015,"Apr","3841.6"
2015,"May","3861.1"
2015,"Jun","3878.2"
2015,"Jul","3877.9"
2015,"Aug","3877.6"
2015,"Sep","3888.6"
2015,"Oct","3915.6"
2015,"Nov","3934.4"
2015,"Dec","3930.4"
2016,"Jan","3836.2"
2016,"Feb","3851.1"
2016,"Mar","3876.9"
2016,"Apr","3918.3"
2016,"May","3919"
2016,"Jun","3944.9"
2016,"Jul","3917.2"
2016,"Aug","3921.1"
2016,"Sep","3932.4"
2016,"Oct","3947.3"
2016,"Nov","3972.8"
2016,"Dec","3958.2"
2017,"Jan","3877.4"
2017,"Feb","3904.7"
2017,"Mar","3922"
2017,"Apr","3953"
2017,"May","3964.5"
2017,"Jun","3994.5"
2017,"Jul","3964.7"
2017,"Aug","3961.5"
2017,"Sep","3970.1"
2017,"Oct","3989.3"
2017,"Nov","4010.8"
2017,"Dec","4002.1"
2018,"Jan","3929.6"
2018,"Feb","3956.2"
2018,"Mar","3975.8"
2018,"Apr","4004.8"
2018,"May","4017.8"
2018,"Jun","4047.5"
2018,"Jul","4020.9"
2018,"Aug","4017.2"
2018,"Sep","4013.1"
2018,"Oct","4040.4"
2018,"Nov","4068.9"
2018,"Dec","4047.6"
2019,"Jan","3981.9"
2019,"Feb","4004.4"
2019,"Mar","4023.7"
2019,"Apr","4051.6"
2019,"May","4058.9"
2019,"Jun","4091.1"
2019,"Jul","4062.2"
2019,"Aug","4061.1"
2019,"Sep","4056.2"
2019,"Oct","4096.2"
2019,"Nov","4119.3"
2019,"Dec","4099.5"
2020,"Jan","4041.4"
2020,"Feb","4055.2"
2020,"Mar","4046.2"
2020,"Apr","3615.2"
2020,"May","3637"
2020,"Jun","3734.3"
2020,"Jul","3766.1"
2020,"Aug","3825.3"
2020,"Sep","3852"
2020,"Oct","3895.5"
2020,"Nov","3921.3"
2020,"Dec","3910.6"
2021,"Jan","3853.5"
2021,"Feb","3867.1"
2021,"Mar","3890.5"
2021,"Apr","3918.5"
2021,"May","3930"
2021,"Jun","3955.5"
2021,"Jul","3964.6"
2021,"Aug","3974.1"
2021,"Sep","3965.5"
2021,"Oct","4014.9"
2021,"Nov","4043.5"
2021,"Dec","4036.8"
2022,"Jan","3954.7"
2022,"Feb","4002.9"
2022,"Mar","4014.5"
2022,"Apr","4052.3"
2022,"May","4054.1"
2022,"June","4068.1"
2022,"July","4078.5"
2022,"Aug","4094.5"
2022,"Sep","4105.1"
2022,"Oct","4127.5"
2022,"Nov","4145.6"
2022,"Dec","4134.3"
2023,"Jan","4077.2"
2023,"Feb","4103.4"
2023,"Mar","4113.6"
2023,"Apr","4137.1"
2023,"May","4149.9"
2023,"June","4167.5"
2023,"July","4147.1"
2023,"August","4149.6"
2023,"September","4159.4"
2023,"October","4188.4"
2023,"November","4205"
2023,"December","4180"
